project_url,toxic_ToxiCR,toxic_llama,filter,Actually_toxic,toxic comment link,Project Developer/External User,Type,What is the problem,What happened afterwards,Do problem resolved,Issue locked,Issue closed,PR merged,PR-associated with the issue,Any following toxic reply,action,issue/pr,toxic reply link,Additional comment,Priority/Severe,
https://github.com/nextauthjs/next-auth/issues/9900,1,1,1,Yes,https://github.com/nextauthjs/next-auth/issues/9900#issuecomment-2311505263,External,Entitlement,The user shows entitlement on how to use next-auth login credentials,Issue closed but problem does not seem to be solved for everyone,1,0,1,-,0,0,0,issue,,,"Severity-priority issue. 
Documentation is confusing.
Users talked about being frustrated about the issue.
A Maintainer closed without addressing the root-cause and users continue to report.",
https://github.com/alacritty/alacritty/issues/7762,1,1,1,Yes,https://github.com/alacritty/alacritty/issues/7762#issuecomment-1961496601,External,Entitlement,The user made a rude entitled comment,Another user calls out the rude comment and convent went on until it was closed. The actual problem was resolved,1,0,1,-,0,1,0,issue,https://github.com/alacritty/alacritty/issues/7762#issuecomment-1962110181,The reply at toxic comment further below,"Severity-priority issue. Severe/priority issue by one of the maintainers (""It's just an open source project, success is completely irrelevant"")",
https://github.com/microsoft/winget-cli/issues/4231,1,1,1,Yes,https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210749024,External,Entitlement,The user feels entitled as Microsoft ignores a bug.,There seem to be multiple toxic comment in reply with accusatory tone. The issue is still open,0,0,0,-,0,1,,issue,"https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210819722

https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210819722","The issue author accuses ""stop lying to users"" and later call ""idiocy"", ""stupidity""",Severity-priority issue. Severe/priority issue by one of the maintainers dismissed it as a trivial change,Interesting title
https://github.com/strapi/strapi/issues/19980,1,1,1,Yes,https://github.com/strapi/strapi/issues/19980#issuecomment-2154490662,External,Frustration,"The user expressed strong frustration which comes as toxic (""I have strapi"")",The actual problem was not resolved and the issue is still open,0,0,0,-,0,0,0,issue,,,"Severity acknowedged low, issue remains open",
https://github.com/yt-dlp/yt-dlp/issues/8973,1,1,1,Yes,https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894690946,External,Identity Attack,The user calls out Elon Musk,The replied also followed by toxic comment.,-,0,1,-,1,1,1,issue,https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894694991,The thread talks about Elon paying someone,-,
https://github.com/python-poetry/poetry/issues/9640,0,1,0,Yes,https://github.com/python-poetry/poetry/issues/9640#issuecomment-2392002633,External,Insult,"The wording comes as insult: ""I will spare you ...""",The problem was resolved. The issue was closed as completed and locked as resolved and limited conversation to collaborators,1,1,1,-,0,0,0,issue,,,-,
https://github.com/yt-dlp/yt-dlp/issues/10128,1,1,1,Yes,https://github.com/yt-dlp/yt-dlp/issues/10128#issuecomment-2231606787,External,Insult,The author used vulgar word to insult,The issue was locked as too heated and limited conversation to collaborators,-,0,1,-,1,0,1,issue,,,-,
https://github.com/vercel/turborepo/issues/8491,1,1,1,Yes,https://github.com/vercel/turborepo/issues/8491#issuecomment-2282199695,External,Insult,"""man this is just boring"" - insulted other",The issue seemed to closed as completed.,1,0,1,-,1,1,1,issue,https://github.com/vercel/turborepo/issues/8491#issuecomment-2289066038,The toxic comment was followed by another toxic comment immediately,"Severe issue as reported by several users. 
Seems like maintainers fixed it.
But users continue to face the issue",
https://github.com/facebook/react/issues/28584,1,1,1,Yes,https://github.com/facebook/react/issues/28584#issuecomment-2233513640,External,Insult,The user describes the problem in the issue with insult,The issue remains open and the problem persists,0,0,0,-,1,1,,issue,https://github.com/facebook/react/issues/28584#issuecomment-2274047823,The reply and toxic comment both were due to impatience over not solving the problem in the issue,"Severity-priority issue. User thinks severe issue, maintainers don't prioritize it",
https://github.com/nextcloud/server/issues/43269,1,1,1,Yes,https://github.com/nextcloud/server/issues/43269#issuecomment-1933486086,External,Insult/Entitlement,"""During the time discussed here, an RC could have been released"" - user expecting special behavior",One of the moderators calls out the user. The issue is closed as completed and locked as off-topic. associated PR merged,1,1 (off topic discussion),1,-,1,1,0,issue,https://github.com/nextcloud/server/issues/43269#issuecomment-1933628524,One of the moderators calls out the toxic comment author. This call out may come as offensive too.,-,
https://github.com/containers/podman/issues/22190,1,1,1,Yes,https://github.com/containers/podman/issues/22190#issuecomment-2051978414,External,Insult/Entitlement,Insulting for workaround solution. The user expressed entitlement by expecting special behavior from the podman project.,The problem remains unsolved. The issue locked as resolved and limited conversation to collaborators.,0,1,1,-,0,0,,issue,,,Severity-priority issue. Users think it's much severe. Maintainers provide a workaround which user dismisses as sloppiness and incompetence.,
https://github.com/yt-dlp/yt-dlp/issues/10457,1,1,1,Yes,https://github.com/yt-dlp/yt-dlp/pull/10457#issuecomment-2264183781,External,Mocking/Vulgarity,The user uses profane words mockingly to address a person.,Pull request was merged,-,-,-,1,-,0,0,pr,,,-,
https://github.com/angular/angular/issues/55854,1,0,0,Yes,https://github.com/angular/angular/issues/55854#issuecomment-2393818625,External,Unprofessional/self dep,Use of word damn,The problem remains unsolved.,0,0,0,-,0,0,,issue,,,-,
